trades,profit_trades,loss_trades,sl_hits,tp1,tp2,tp3,engine_sell,net,win_rate,avg,profit_factor,days_tp1_ok,trading_days,engine,symbol,side
45,15,30,12,27,15,8,25,61.30117187500002,33.333333333333336,1.3622482638888893,1.2518801005074325,22,32,E7 ATR Expansion Impulse,Nifty,PE
36,7,29,11,14,9,4,21,-41.17480468750001,19.444444444444443,-1.143744574652778,0.8039528404356624,14,29,E8 RSI Regime,Nifty,PE
22,4,18,10,8,3,1,11,-103.52558593749998,18.181818181818183,-4.705708451704544,0.35768366661900247,8,19,E9 MACD Histogram,Nifty,PE
11,3,8,7,7,3,2,2,-16.050000000000004,27.272727272727273,-1.4590909090909094,0.8166238217652099,7,11,E10 Supertrend,Nifty,PE
31,9,22,9,19,10,1,21,-70.0013671875,29.032258064516128,-2.2581086189516126,0.5698871695912326,17,27,E11 Engulf + Volume,Nifty,PE
24,7,17,10,15,7,3,11,-18.877148437499994,29.166666666666668,-0.7865478515624997,0.8756050756207779,15,21,E12 Rejection Wick Sweep,Nifty,PE
29,11,18,14,18,9,6,9,66.6,37.93103448275862,2.296551724137931,1.3701040114355054,16,25,E13 Inside Bar Breakout,Nifty,PE
169,75,94,12,45,11,2,155,-9.423242187500016,44.37869822485207,-0.05575882951183441,0.9788918240435545,29,51,E14 Round Premium Levels,Nifty,PE
22,8,14,13,13,9,8,1,115.34980468749998,36.36363636363637,5.243172940340909,1.7005749642056016,13,18,E15 Option CPR / Pivot,Nifty,PE
48,10,38,29,22,12,6,13,-152.20078125000003,20.833333333333332,-3.1708496093750007,0.6220259330056742,20,32,E16 Donchian Channel Break,Nifty,PE
6,2,4,2,4,2,2,2,33.5,33.333333333333336,5.583333333333333,1.917808219178082,4,6,E21 Bollinger Squeeze Break,Nifty,PE
66,25,41,41,54,40,25,0,383.0,37.878787878787875,5.803030303030303,1.7784552845528456,28,33,E1 Swing Structure,BankNifty,CE
21,10,11,11,20,17,10,0,218.00000000000003,47.61904761904762,10.380952380952383,2.6515151515151514,17,17,E2 Opening Range Breakout,BankNifty,CE
66,20,46,43,50,32,20,3,164.92578125000003,30.303030303030305,2.498875473484849,1.3082297286445368,34,40,E3 VWAP Reclaim,BankNifty,CE
17,7,10,10,14,11,7,0,125.0,41.1764705882353,7.352941176470588,2.0416666666666665,9,10,E4 Prev Day High/Low Break,BankNifty,CE
83,20,63,60,65,37,20,3,-40.3015625,24.096385542168676,-0.48556099397590363,0.9455606140234238,27,29,E5 Pullback Continuation,BankNifty,CE
119,37,82,82,93,58,37,0,311.0,31.092436974789916,2.6134453781512605,1.3160569105691058,31,34,E6 EMA Stack Momentum,BankNifty,CE
59,23,36,36,50,35,22,1,357.70078125,38.983050847457626,6.062725105932203,1.8280110677083332,33,35,E7 ATR Expansion Impulse,BankNifty,CE
47,10,37,33,37,25,10,4,-68.64882812500002,21.27659574468085,-1.4606133643617025,0.8360228823941606,25,32,E8 RSI Regime,BankNifty,CE
35,12,23,23,27,16,12,0,144.0,34.285714285714285,4.114285714285714,1.5217391304347827,25,28,E9 MACD Histogram,BankNifty,CE
20,10,10,10,19,16,10,0,229.99999999999997,50.0,11.499999999999998,2.9166666666666665,17,18,E10 Supertrend,BankNifty,CE
39,11,28,27,35,23,11,1,56.62617187500001,28.205128205128204,1.4519531250000004,1.1724442297924074,22,24,E11 Engulf + Volume,BankNifty,CE
37,10,27,23,32,17,9,5,36.47070312499998,27.027027027027028,0.9856946790540535,1.1285411988550866,27,28,E12 Rejection Wick Sweep,BankNifty,CE
34,9,25,24,26,14,9,1,18.899609374999976,26.470588235294116,0.5558708639705875,1.0638283837961418,18,23,E13 Inside Bar Breakout,BankNifty,CE
188,76,112,96,153,88,34,58,461.46685267857157,40.42553191489362,2.4546109185030405,1.3798978980463394,49,50,E14 Round Premium Levels,BankNifty,CE
20,8,12,12,18,12,8,0,136.0,40.0,6.8,1.9444444444444444,14,16,E15 Option CPR / Pivot,BankNifty,CE
67,24,43,43,54,41,24,0,324.0,35.82089552238806,4.835820895522388,1.627906976744186,34,37,E16 Donchian Channel Break,BankNifty,CE
8,4,4,4,7,6,4,0,92.0,50.0,11.5,2.9166666666666665,7,8,E21 Bollinger Squeeze Break,BankNifty,CE
57,15,42,42,40,28,15,0,21.000000000000007,26.31578947368421,0.3684210526315791,1.0416666666666667,25,32,E1 Swing Structure,BankNifty,PE
