n,net,win,sl,tp1,avg,wr,days,tp1_days,min_score,members,tp2,tp3,lock
69,-23.28558593750003,23,10,10,-0.33747225996376856,33.33333333333333,39,24,3,E3+E7+E5+E14,20,35,False
72,-3.8705273437500054,37,12,10,-0.053757324218750076,51.388888888888886,39,25,3,E3+E7+E5+E14,20,35,True
69,-49.21714843750003,23,12,10,-0.7132920063405801,33.33333333333333,39,25,3,E3+E7+E5+E14,20,35,False
72,42.995253906249985,42,8,8,0.597156304253472,58.333333333333336,39,30,3,E3+E7+E5+E14,16,28,True
71,-26.27636718750007,22,8,8,-0.3700896786971841,30.985915492957744,39,30,3,E3+E7+E5+E14,16,28,False
72,-9.428964843750016,35,9,10,-0.13095784505208355,48.61111111111111,39,24,3,E3+E7+E5+E14,20,30,True
69,-27.34039062500004,23,9,10,-0.39623754528985566,33.33333333333333,39,24,3,E3+E7+E5+E14,20,30,False
58,24.544999999999995,34,10,10,0.4231896551724137,58.620689655172406,35,26,4,E1+E3+E5+E7+E8+E14+E15+E21,18,28,True
56,-9.249804687500067,16,10,10,-0.16517508370535833,28.57142857142857,35,26,4,E1+E3+E5+E7+E8+E14+E15+E21,18,28,False
58,20.044999999999995,34,10,10,0.345603448275862,58.620689655172406,35,26,4,E1+E3+E5+E7+E8+E14+E15+E21,20,35,True
55,8.48480468749996,16,10,10,0.1542691761363629,29.09090909090909,35,26,4,E1+E3+E5+E7+E8+E14+E15+E21,20,35,False
58,5.619804687499993,34,12,10,0.09689318426724126,58.620689655172406,35,26,4,E1+E3+E5+E7+E8+E14+E15+E21,20,35,True
55,-19.219609375000033,16,12,10,-0.3494474431818188,29.09090909090909,35,26,4,E1+E3+E5+E7+E8+E14+E15+E21,20,35,False
58,33.42999999999998,36,8,8,0.5763793103448273,62.06896551724138,35,29,4,E1+E3+E5+E7+E8+E14+E15+E21,16,28,True
57,12.96921874999991,15,8,8,0.22753015350877037,26.31578947368421,35,29,4,E1+E3+E5+E7+E8+E14+E15+E21,16,28,False
58,24.389999999999972,33,9,10,0.42051724137930985,56.896551724137936,35,26,4,E1+E3+E5+E7+E8+E14+E15+E21,20,30,True
55,6.909999999999911,16,9,10,0.12563636363636202,29.09090909090909,35,26,4,E1+E3+E5+E7+E8+E14+E15+E21,20,30,False
3,-15.0,1,10,10,-5.0,33.33333333333333,3,1,4,E3+E7+E14+E15,18,28,True
