entry_ts,exit_ts,entry,exit,pnl,reason,hit_tp1,hit_tp2,hit_tp3,day,side,strike,moneyness,expiry,contract,mode
2025-06-09 11:00:00,2025-06-09 12:00:00,622.4587863809647,604.4587863809647,-18.0,SL,False,False,False,2025-06-09,CE,24700,ITM,2025-06-26,2025-06-26_CE_24700,runners
2025-06-10 10:00:00,2025-06-10 11:00:00,613.1767731124964,595.1767731124964,-18.0,SL,False,False,False,2025-06-10,CE,24700,ITM,2025-06-26,2025-06-26_CE_24700,runners
2025-06-24 09:00:00,2025-06-24 10:00:00,509.20174478941044,491.20174478941044,-18.0,SL,False,False,False,2025-06-24,CE,24700,ITM,2025-06-26,2025-06-26_CE_24700,runners
2025-06-25 10:00:00,2025-06-25 11:00:00,499.38193695075097,481.38193695075097,-18.0,SL,False,False,False,2025-06-25,CE,24700,ITM,2025-06-26,2025-06-26_CE_24700,runners
2025-06-26 09:00:00,2025-06-26 10:00:00,573.6865320988436,608.6865320988436,35.0,TP3,True,True,True,2025-06-26,CE,24700,ITM,2025-06-26,2025-06-26_CE_24700,runners
2025-06-09 11:00:00,2025-06-09 12:00:00,585.0397469349773,567.0397469349773,-18.0,SL,False,False,False,2025-06-09,CE,24750,ATM,2025-06-26,2025-06-26_CE_24750,runners
2025-06-10 10:00:00,2025-06-10 11:00:00,576.0560117040113,558.0560117040113,-18.0,SL,False,False,False,2025-06-10,CE,24750,ATM,2025-06-26,2025-06-26_CE_24750,runners
2025-06-24 09:00:00,2025-06-24 10:00:00,460.3753878341922,442.3753878341922,-18.0,SL,False,False,False,2025-06-24,CE,24750,ATM,2025-06-26,2025-06-26_CE_24750,runners
2025-06-25 10:00:00,2025-06-25 11:00:00,449.99785866264574,431.99785866264574,-18.0,SL,False,False,False,2025-06-25,CE,24750,ATM,2025-06-26,2025-06-26_CE_24750,runners
2025-06-26 09:00:00,2025-06-26 10:00:00,523.696120220502,558.696120220502,35.0,TP3,True,True,True,2025-06-26,CE,24750,ATM,2025-06-26,2025-06-26_CE_24750,runners
2025-06-09 11:00:00,2025-06-09 12:00:00,548.9123963579623,530.9123963579623,-18.0,SL,False,False,False,2025-06-09,CE,24800,OTM,2025-06-26,2025-06-26_CE_24800,runners
2025-06-25 11:00:00,2025-06-25 12:00:00,433.0815394531601,415.0815394531601,-18.0,SL,False,False,False,2025-06-25,CE,24800,OTM,2025-06-26,2025-06-26_CE_24800,runners
2025-06-09 10:00:00,2025-06-09 11:00:00,529.3498914203519,511.3498914203519,-18.0,SL,False,False,False,2025-06-09,CE,24850,OTM,2025-06-26,2025-06-26_CE_24850,runners
2025-06-10 09:00:00,2025-06-10 10:00:00,533.7374148923882,515.7374148923882,-18.0,SL,False,False,False,2025-06-10,CE,24850,OTM,2025-06-26,2025-06-26_CE_24850,runners
2025-06-25 11:00:00,2025-06-25 12:00:00,383.84860644278524,365.84860644278524,-18.0,SL,False,False,False,2025-06-25,CE,24850,OTM,2025-06-26,2025-06-26_CE_24850,runners
2025-06-05 09:00:00,2025-06-05 10:00:00,274.4761953944944,256.4761953944944,-18.0,SL,False,False,False,2025-06-05,PE,24650,OTM,2025-06-26,2025-06-26_PE_24650,runners
2025-06-05 15:00:00,2025-06-06 09:00:00,242.7315371427303,224.7315371427303,-18.0,SL,False,False,False,2025-06-05,PE,24650,OTM,2025-06-26,2025-06-26_PE_24650,runners
2025-06-16 13:00:00,2025-06-16 14:00:00,109.82400606316605,144.82400606316605,35.0,TP3,True,True,True,2025-06-16,PE,24650,OTM,2025-06-26,2025-06-26_PE_24650,runners
2025-06-20 11:00:00,2025-06-20 12:00:00,63.830191017130346,45.830191017130346,-18.0,SL,False,False,False,2025-06-20,PE,24650,OTM,2025-06-26,2025-06-26_PE_24650,runners
